 -300.78      2.64     0.70
 -242.58      2.65     0.70
 -180.22      2.66     0.70
 -117.87      2.67     0.70
  -55.51      2.68     0.70
    6.85      2.68     0.70
   69.21      2.69     0.70
  131.56      2.70     0.70
  193.92      2.71     0.70
  256.28      2.72     0.70
  318.64      2.72     0.70
  380.99      2.72     0.70
  443.35      2.72     0.70
  505.71      2.72     0.70
  568.07      2.71     0.70
  630.42      2.71     0.70
  692.78      2.70     0.70
  755.14      2.70     0.70
  817.49      2.70     0.70
  879.85      2.69     0.70
  942.21      2.69     0.70
 1004.57      2.68     0.70
 1066.92      2.68     0.70
 1129.28      2.67     0.70
 1191.64      2.66     0.70
 1254.00      2.65     0.70
 1316.35      2.64     0.70
 1378.71      2.63     0.70
 1441.07      2.61     0.70
 1503.42      2.60     0.70
 1565.78      2.59     0.70
 1628.14      2.57     0.70
 1690.50      2.56     0.70
 1752.85      2.54     0.70
 1815.21      2.53     0.70
 1877.57      2.52     0.70
 1939.93      2.50     0.70
 2002.28      2.49     0.70
 2064.64      2.49     0.70
 2127.00      2.48     0.70
 2189.36      2.47     0.70
 2251.71      2.47     0.70
 2314.07      2.46     0.70
 2376.43      2.46     0.70
 2438.78      2.46     0.70
 2501.14      2.45     0.70
 2563.50      2.45     0.70
 2625.86      2.45     0.70
 2688.21      2.45     0.70
 2750.57      2.45     0.70
 2812.93      2.45     0.70
 2875.29      2.44     0.70
 2937.64      2.44     0.70
 3000.00      2.44     0.70
 3062.36      2.43     0.70
 3124.71      2.43     0.70
 3187.07      2.43     0.70
 3249.43      2.42     0.70
 3311.79      2.42     0.70
 3374.14      2.42     0.70
 3436.50      2.41     0.70
 3500.94      2.41     0.70
 3563.11      2.41     0.70
 3628.48      2.40     0.70
 3694.64      2.40     0.70
 3755.22      2.39     0.70
 3818.19      2.38     0.70
 3897.11      2.38     0.70
 3900.00      2.38     0.70
